11101011	10	桃园の剑	10001010	10001010	1	0	0	1	1	0	0	1			1002	1	100	1	11101011	10	1001		149000	0		
11101021	11	桃园の甲	10001011	10001011	1	0	0	1	1	0	0	1			1002	1	101	1	11101021	10	101		149010	0		
11101031	12	桃园の头	10001021	10001021	1	0	0	1	1	0	0	1			1002	1	102	1	11101031	10	1		149020	0		
11101041	13	桃园の链	10001031	10001031	1	0	0	1	1	0	0	1			1002	1	103	1	11101041	10	1		149030	0		
11101051	14	桃园の手	10001041	10001041	1	0	0	1	1	0	0	1			1002	1	104	1	11101051	10	1		149040	0		
11101061	15	桃园の镯	10001041	10001041	1	0	0	1	1	0	0	1			1002	1	105	1	11101061	10	1		149050	0		
11101071	16	桃园の戒	10001061	10001061	1	0	0	1	1	0	0	1			1002	1	106	1	11101071	10	1		149060	0		
11101081	17	桃园の指	10001061	10001061	1	0	0	1	1	0	0	1			1002	1	107	1	11101081	10	1		149070	0		
11101091	18	桃园の带	10001081	10001081	1	0	0	1	1	0	0	1			1002	1	108	1	11101091	10	1		149080	0		
11101101	19	桃园の靴	10001091	10001091	1	0	0	1	1	0	0	1			1002	1	109	1	11101101	10	1		149090	0		
11102011	20	噬魂の剑	10002010	10002010	1	0	0	1	2	0	0	1			1002	1	100	1	11102011	20	1002		148000	0		
11102021	21	噬魂の甲	10002011	10002011	1	0	0	1	2	0	0	1			1002	1	101	1	11102021	20	102		148010	0		
11102031	22	噬魂の头	10002021	10002021	1	0	0	1	2	0	0	1			1002	1	102	1	11102031	20	2		148020	0		
11102041	23	噬魂の链	10002031	10002031	1	0	0	1	2	0	0	1			1002	1	103	1	11102041	20	2		148030	0		
11102051	24	噬魂の手	10002041	10002041	1	0	0	1	2	0	0	1			1002	1	104	1	11102051	20	2		148040	0		
11102061	25	噬魂の镯	10002041	10002041	1	0	0	1	2	0	0	1			1002	1	105	1	11102061	20	2		148050	0		
11102071	26	噬魂の戒	10002061	10002061	1	0	0	1	2	0	0	1			1002	1	106	1	11102071	20	2		148060	0		
11102081	27	噬魂の指	10002061	10002061	1	0	0	1	2	0	0	1			1002	1	107	1	11102081	20	2		148070	0		
11102091	28	噬魂の带	10002081	10002081	1	0	0	1	2	0	0	1			1002	1	108	1	11102091	20	2		148080	0		
11102101	29	噬魂の靴	10002091	10002091	1	0	0	1	2	0	0	1			1002	1	109	1	11102101	20	2		148090	0		
11103011	30	炼狱の剑	10051010	10051010	1	0	0	1	3	0	0	1			1002	1	100	1	11103011	30	1003		147000	0		
11103021	31	炼狱の甲	10003011	10003011	1	0	0	1	3	0	0	1			1002	1	101	1	11103021	30	103		147010	0		
11103031	32	炼狱の头	10003021	10003021	1	0	0	1	3	0	0	1			1002	1	102	1	11103031	30	3		147020	0		
11103041	33	炼狱の链	10003031	10003031	1	0	0	1	3	0	0	1			1002	1	103	1	11103041	30	3		147030	0		
11103051	34	炼狱の手	10003041	10003041	1	0	0	1	3	0	0	1			1002	1	104	1	11103051	30	3		147040	0		
11103061	35	炼狱の镯	10003041	10003041	1	0	0	1	3	0	0	1			1002	1	105	1	11103061	30	3		147050	0		
11103071	36	炼狱の戒	10003061	10003061	1	0	0	1	3	0	0	1			1002	1	106	1	11103071	30	3		147060	0		
11103081	37	炼狱の指	10003061	10003061	1	0	0	1	3	0	0	1			1002	1	107	1	11103081	30	3		147070	0		
11103091	38	炼狱の带	10003081	10003081	1	0	0	1	3	0	0	1			1002	1	108	1	11103091	30	3		147080	0		
11103101	39	炼狱の靴	10003091	10003091	1	0	0	1	3	0	0	1			1002	1	109	1	11103101	30	3		147090	0		
11104011	40	龙牙の剑	10004010	10004010	1	0	0	1	4	0	0	1			1002	1	100	1	11104011	40	1004		146000	0		
11104021	41	龙牙の甲	10004011	10004011	1	0	0	1	4	0	0	1			1002	1	101	1	11104021	40	104		146010	0		
11104031	42	龙牙の头	10004021	10004021	1	0	0	1	4	0	0	1			1002	1	102	1	11104031	40	4		146020	0		
11104041	43	龙牙の链	10004031	10004031	1	0	0	1	4	0	0	1			1002	1	103	1	11104041	40	4		146030	0		
11104051	44	龙牙の手	10004041	10004041	1	0	0	1	4	0	0	1			1002	1	104	1	11104051	40	4		146040	0		
11104061	45	龙牙の镯	10004041	10004041	1	0	0	1	4	0	0	1			1002	1	105	1	11104061	40	4		146050	0		
