9		火墙			装饰	地面	0	9	9001				0	1	400035	0	0	0	0					0		0		0					0	0	0		500			4000001	0	0	0	0	0	0			100											
10		火墙			装饰	地面	0	9	9001				0	1		0	0	0	0					0		0		0					0	0	0		500			4000001	0	0	0	0	0	0			100											
11		传送阵			装饰	地面	0	9	0				0	1	400001	0	0	0	0					0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
12		泡点1（3倍)			装饰	地面	0	9	6001				0	1	400011	0	0	0	0			0,20		0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
13		泡点2（4倍)			装饰	地面	0	9	6001				0	1	400012	0	0	0	0			0,20		0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
14		泡点2（6倍)			装饰	地面	0	9	6001				0	1	400013	0	0	0	0			0,20		0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
16		金矿			装饰	地面	0	9	0				0	1		0	0	0	0					0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
17		采集圈			装饰	地面	0	9	0				0	1	400013	0	0	0	0					0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
18		安全区			装饰	地面	0	9	0				0	1	400003	0	0	0	0					0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
25		墓碑			装饰	地面	0	9	7001				0	1	20055	0	0	0	0			0,90		0		0		0	1				0	0	0		500			4000001	0	0	0	0	0	0			100											
27		夺宝奇兵宝箱			装饰	夺宝奇兵	0	5	0				0	1	400010	0	0	0	0					0	0	0							0	0	0					90001	0	0	0	0	0	0														
28		镖车圈			装饰	地面	0	9	0				0	1	400018	0	0	0	0					0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
29		箭头			装饰	神武引导	0	9	0				0	1	400020	0	0	0	0			0,20		0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
30		[color=#e0dee1]圣魂赤铜矿[/color]	圣魂赤铜矿		装饰	地面	0	5	4005				0	1	20045	0	0	0	0					0		0		0					0	0	0					90102	0	1	0	0	0	0			100											
31		[color=#399ffe]圣魂秘银矿[/color]	圣魂秘银矿		装饰	地面	0	5	4005				0	1	20046	0	0	0	0					0		0		0					0	0	0					90102	0	1	0	0	0	0			100											
32		[color=#ff6b11]圣魂钛金矿[/color]	圣魂钛金矿		装饰	地面	0	5	4005				0	1	20047	0	0	0	0					0		0		0					0	0	0					90102	0	1	0	0	0	0			100											
33		帮会争夺圈（大）			装饰	地面	0	9	6002				0	1	400037	0	0	0	0			0,20		0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
34		帮会争夺圈（小）			装饰	地面	0	9	6003				0	1	400038	0	0	0	0			0,20		0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
40		[color=#fd1c1c]绝学-切割[/color]	绝学-切割		新手期采集	地面	0	5	5004				0	1	20047	0	0	0	0					0		0		0					0	0	0					90102	0	1	0	0	0	0			100											
41		神器副本中箭头			装饰	神器副本	0	9	0				0	1	400045	0	0	0	0			0,20		0		0		0					0	0	0					4000001	0	0	0	0	0	0			100											
400201		沙城大门			攻城战	沙城	0	6	0				0	1	20013	0	0	0	0					0		0		0	1	1		1	0	0	0					4000002	0	0	0	0	0	0			100											
400202		西侧墙壁			攻城战	沙城	0	6	0				0	1	20013	0	0	0	0					0		0		0	1	1		1	0	0	0					4000003	0	0	0	0	0	0			100											
